stem,n_participants,pooled_istc,pooled_crowd_gs_cv,n_beats,beat_this,madmom
WXgaSUb0X-o,116,61.3,0.007651331100706146,45,0.9777777777777776,0.9777777777777776
WuiBdljkU2E,117,46.233333333333334,0.008448253814215732,49,1.0,1.0
XLFAH6gkfb4,117,32.63333333333333,0.007743267653887848,86,0.8048780487804877,0.9885057471264368
YO-JGE1c8hE,116,65.23333333333333,0.01377537236977649,36,0.9444444444444444,1.0
YbdoCyC9r4E,118,49.8,0.005801374998432399,35,1.0,1.0
YmpqEe8jKlU,117,41.733333333333334,0.007577902588381833,104,0.6749999999999999,0.6749999999999999
YoD4qPd6ntA,117,18.733333333333334,0.028244627942003758,34,0.2068965517241379,0.2222222222222222
Yxj0QTk4gko,118,61.43333333333333,0.011923519944972632,57,1.0,1.0
ZLgU_h1V6DA,118,60.8,0.0074228075485480525,52,1.0,1.0
ZYE7UJSA7k0,118,75.83333333333333,0.006586907326526072,57,1.0,1.0
Z_czLm560A4,117,34.5,0.008864449903497865,66,1.0,1.0
Zd_VDxlEZP8,116,67.66666666666667,0.006584434672497153,55,1.0,1.0
Zk8KnhrJpp8,117,58.46666666666667,0.01367050177987606,73,0.6545454545454547,0.6545454545454547
ZllgNaVpYz8,117,62.7,0.013568346635590667,53,0.7692307692307693,0.7307692307692306
_BcRXT8DUu0,119,58.233333333333334,0.014293918090431068,70,0.6792452830188679,1.0
_rOVBXw47mk,118,52.8,0.00433646552399766,76,0.6666666666666666,1.0
a6U0NuNx6Rs,119,21.133333333333333,0.022972237890413024,45,0.3214285714285714,0.3571428571428571
aezgXC00hQw,119,39.4,0.01889277981533608,96,0.6666666666666666,0.6666666666666666
bSmvp0w2zYY,118,57.333333333333336,0.02197359732894826,70,0.6792452830188679,1.0
bTSTMIoNf9k,117,47.36666666666667,0.00960710004643148,55,1.0,1.0
bY2yvESoWAs,117,32.06666666666667,0.00864212342915261,72,0.5205479452054794,0.6666666666666666
bhJjNBcHdNs,119,67.43333333333334,0.00911149765759567,63,0.984126984126984,1.0
bjW1WfRAk18,117,47.266666666666666,0.015701846434657683,52,1.0,1.0
cCnf1w1DzlA,118,42.0,0.012005894120942152,45,1.0,1.0
cetR8PMSK0c,119,38.56666666666667,0.012332730797501279,47,0.3684210526315789,0.0
cnkWWKwo4Ww,116,48.0,0.019750428001750118,73,0.6545454545454547,1.0
cugnPFhB2L8,117,49.266666666666666,0.010626101106387727,70,0.6538461538461539,1.0
dlXZYP7bDCY,119,50.333333333333336,0.010361349096028276,45,1.0,1.0
eDDXIycpNNU,117,49.4,0.020031176743347985,76,0.6607142857142857,0.96
eQbTz-OUyfA,117,73.93333333333334,0.01234466777854136,51,1.0,1.0
ebHTsxs9j4A,116,59.13333333333333,0.009717969016988985,47,1.0,1.0
ebgt9w3tLcQ,119,56.9,0.008231299920498085,49,1.0,1.0
f8edbq7JoqQ,118,65.5,0.0034032858078262007,86,0.65625,0.65625
f9a5K5vowLo,116,56.266666666666666,0.011895689473063365,46,1.0,1.0
faAObMnqMKY,118,60.56666666666667,0.0048692683152826806,73,0.6545454545454547,1.0
fkbhJS6HXLo,117,62.63333333333333,0.012336368843993825,77,0.6666666666666666,1.0
fmZ_nkEkZ_c,116,63.43333333333333,0.008971304590552912,49,1.0,1.0
g6mNueuu8c8,118,33.63333333333333,0.011314359790464239,57,1.0,1.0
gRacamF19ZM,119,57.233333333333334,0.008466186459036426,50,1.0,1.0
ggikYXT_Z9g,119,33.8,0.023676601775740425,71,0.6792452830188679,1.0
ggzR6BQXAk0,118,57.233333333333334,0.00251667644204211,70,0.7719298245614035,0.6792452830188679
gktSILI4uGw,115,50.0,0.010219108266924744,52,1.0,1.0
glaZwDDrTSo,116,18.733333333333334,0.03052219893241267,59,1.0,0.2272727272727272
grjlXtjRC-U,120,60.666666666666664,0.010724909863417592,72,0.6666666666666666,1.0
h7cOOfpdEfk,119,47.333333333333336,0.018840625273927367,66,0.9846153846153848,1.0
hC0AvnigvJc,117,33.43333333333333,0.017665886152424606,70,0.8571428571428571,0.8405797101449276
hV3i-2bykvo,118,52.6,0.011354043263822163,45,1.0,1.0
hV_oeKf3dLU,119,23.0,0.02439545398477953,54,1.0,1.0
hXYT32hIbX4,115,62.266666666666666,0.010758229092066042,53,1.0,1.0
hnAeK7UyQp0,118,61.3,0.004044496900869993,82,0.6557377049180327,0.6557377049180327
i5ubDN3SySI,118,29.8,0.012872854790927044,37,1.0,1.0
j3Itb7Or3aA,116,73.6,0.00805480357736837,46,1.0,1.0
jGGQyqohOaw,119,44.06666666666667,0.00939266885185668,37,1.0,1.0
jR_j-LPLBvU,117,56.96666666666667,0.010334759553204561,47,1.0,1.0
kAV_6EHIuXU,117,57.8,0.009352078485404256,48,1.0,1.0
kORjDONhB3E,116,55.53333333333333,0.005373820729901413,73,0.6785714285714285,1.0
k_M2pPYYYH0,119,53.43333333333333,0.007868619115975379,49,1.0,1.0
lNR4TrmRIcY,117,55.5,0.012995122030240993,64,1.0,1.0
lUnynBPGc-Q,116,56.233333333333334,0.016775758940931227,71,0.6792452830188679,1.0
lakJiuCazfk,116,18.566666666666666,0.025607205216836255,25,,0.1935483870967742
le6FHCO1sd8,116,31.033333333333335,0.016250642380149463,50,0.0,0.6666666666666666
lsFMXK1YPG8,119,51.93333333333333,0.011795173692102461,48,1.0,1.0
mEfvYXGi9Qw,118,46.8,0.017041474869181547,49,1.0,1.0
mMPxaBYL3hY,119,67.5,0.003190102488314965,55,1.0,1.0
mUSsyCtoC60,118,59.333333333333336,0.012176959908627282,47,1.0,1.0
n0x7jpD7upQ,119,55.3,0.00771255178927047,43,1.0,1.0
oCOWsvnWJuA,117,68.83333333333333,0.009932271674687975,50,1.0,1.0
ojRj2JK5oCI,118,33.06666666666667,0.020899373815656902,35,0.2162162162162162,0.3333333333333333
p5wp3UBBt10,119,62.4,0.008524252293507421,65,1.0,1.0
p9OZAZrw-9o,118,57.833333333333336,0.005230545858592879,81,0.6666666666666666,1.0
pOEzjT-SED0,116,53.13333333333333,0.011969687058503027,40,1.0,1.0
pPAAFMtDUzo,119,56.166666666666664,0.011818232498333966,37,1.0,1.0
pTK9FnAzgwI,117,21.166666666666668,0.03512831255914698,33,0.3673469387755101,0.1212121212121212
q1tC8PSDJe4,117,52.96666666666667,0.009380999468732202,70,1.0,1.0
qhg8a5LUk-Y,118,46.13333333333333,0.014887463081035411,64,0.6666666666666666,1.0
qtDcpyukzIw,118,66.9,0.007258239669102285,50,1.0,1.0
rPOn6B6zcGU,116,15.533333333333333,0.026567776389184512,42,,0.1621621621621621
rgQacXMj7EQ,120,53.63333333333333,0.01083339493195875,62,0.6666666666666666,1.0
s7VmlXsURZQ,115,58.0,0.008767514121991837,63,1.0,1.0
sS8jpNdABgw,116,52.13333333333333,0.0060392669730447825,37,1.0,1.0
tBCoITfR6GQ,118,51.7,0.01142209640590588,61,1.0,1.0
tIqmSwfnRSw,119,56.266666666666666,0.0030087480690925215,74,1.0,1.0
tQbIvj7jM9A,117,49.4,0.019376390415799104,32,0.2716049382716049,0.8125
tuhxZytmhss,117,30.466666666666665,0.018664585898828877,70,0.6538461538461539,0.6538461538461539
